time (min),f (Hz),d (ppm)
0.0,-0.07418463043868506,0.2667109084217998
0.030000000000001137,0.0,0.3156478223365866
0.060000000000002274,-0.01470616385340584,0.2629543795755751
0.09000000000000341,-0.006669974699615722,0.32051998509584223
0.12999999999999545,0.06575349047780144,0.2776828761921877
0.1599999999999966,-0.00260170884430444,0.29329577739645174
0.18999999999999773,-0.019704565405845642,0.22096275494877204
0.2300000000000182,0.06621225103735995,0.2503616714184602
0.2600000000000193,0.07667078785598314,0.30920913546594875
0.30000000000001137,0.0846890490502119,0.27323572537625296
0.3300000000000125,0.12622579708695447,0.3154867693901622
0.36000000000001364,0.04841401204466855,0.26670385006309516
0.4000000000000057,0.02071413360536134,0.24988281529468281
0.4300000000000068,0.08627946600318026,0.2658274037918318
0.46000000000000796,0.15906354002654588,0.25458398509292124
0.4900000000000091,0.054590687528252246,0.2579148521279251
0.5300000000000011,0.07636905983090436,0.2836771696206597
0.5600000000000023,0.023055155202746036,0.2506295210318683
0.5900000000000034,0.07589423283934593,0.2950336014599486
0.6299999999999955,0.02760755829513073,0.27812155339830724
0.6599999999999966,0.074217289686203,0.29180552903173407
0.700000000000017,0.03849978446960556,0.2717377205806315
0.7300000000000182,0.041282799839974516,0.21555579267959502
0.7600000000000193,0.08094991184771061,0.241759214869262
0.7900000000000205,0.06331887170672523,0.23642240045353446
0.8300000000000125,0.032730901986360195,0.3051266479524486
0.8600000000000136,0.2121228203177452,0.3037931853202167
0.9000000000000057,0.07069691680371726,0.2801317664553835
0.9300000000000068,0.09564502947032416,0.30308285579744165
0.960000000000008,-0.023047402873634937,0.30998659955977814
1.0,0.008816521242261288,0.2853308638157728
1.0300000000000011,0.034840432181955094,0.3217366454024386
1.0600000000000023,-0.01515513695776427,0.29368118989251
1.1000000000000227,0.026891867071389797,0.31019192188648503
1.1299999999999955,0.04430247358977901,0.32795009352398097
1.1599999999999966,-0.04492897614836622,0.3328113648263695
1.200000000000017,-0.10288208164274693,0.3404504483814037
1.2300000000000182,-0.08191508576273954,0.36257474214627905
1.2600000000000193,-0.11807441674172914,0.3829396325733967
1.3000000000000114,-0.2685736391693343,0.43299258731298096
1.3300000000000125,-0.26323084607720304,0.4457102910918138
1.3600000000000136,-0.42155856974422967,0.48374921402901805
1.3900000000000148,-0.5321550313383341,0.5152159642060496
1.420000000000016,-0.6138110823929299,0.5668761545846053
1.460000000000008,-0.715381159633397,0.5583824807454221
1.490000000000009,-0.8710508998483419,0.6297251460555628
1.5200000000000102,-0.9834753043949593,0.6844453621335447
1.5500000000000114,-1.0937724065035574,0.7094355611392302
1.5900000000000034,-1.273388767242432,0.7403287568532733
1.6200000000000045,-1.4006228320300576,0.8350892620182435
1.6599999999999966,-1.5667155943810922,0.8989783537804783
1.6899999999999977,-1.6819412160664786,0.9595273077181048
1.7199999999999989,-1.9055640108883392,1.019223532551024
1.7600000000000193,-2.132183222845198,1.08204219785722
1.7900000000000205,-2.201642674952746,1.1171547672867632
1.8200000000000216,-2.410899063572286,1.1770600187533375
1.8600000000000136,-2.4953749038279067,1.2210362560551289
1.8900000000000148,-2.711281279101966,1.2700507341593834
1.920000000000016,-2.796139863878489,1.4183874699368744
1.960000000000008,-3.00413854494691,1.4189539109588338
1.990000000000009,-3.15186334811151,1.4423680114294655
2.0200000000000102,-3.339521950483322,1.5559370299919806
2.0500000000000114,-3.4128143604844805,1.613914402420761
2.0900000000000034,-3.5813278678804625,1.7182326034154585
2.1200000000000045,-3.695197903364898,1.7219060243821218
2.1500000000000057,-3.9258271299302567,1.7928507734226287
2.1899999999999977,-3.9409471169114116,1.8418722618245056
2.219999999999999,-4.1682875875383605,1.828080468750045
2.25,-4.295025139674545,1.9283671984045156
2.2900000000000205,-4.419559859856962,1.9458041234642849
2.3200000000000216,-4.527970571070908,2.0429697688866213
2.3500000000000227,-4.686864589527248,2.1001425229719075
2.390000000000015,-4.8561889596283425,2.124449617699838
2.420000000000016,-4.967267294228078,2.2049185701173144
2.450000000000017,-5.098004862293601,2.2081523382129262
2.490000000000009,-5.18435153029859,2.3016467759801458
2.5200000000000102,-5.361511278524995,2.2974524800874576
2.5500000000000114,-5.480791860446333,2.361750994523021
2.5900000000000034,-5.537106641754507,2.3517088542393765
2.6200000000000045,-5.7404270771890875,2.4578091149706154
2.6500000000000057,-5.816858291253448,2.4724284516485966
2.6899999999999977,-5.919324381649494,2.5310920106050503
2.719999999999999,-6.057779870927332,2.531408057023839
2.75,-6.1785747434943925,2.5755611462585364
2.7900000000000205,-6.3346081145107735,2.6630648225153095
2.8200000000000216,-6.425337561592459,2.661023548006341
2.8500000000000227,-6.534439700841903,2.725144071727186
2.890000000000015,-6.5817993268370625,2.733606479679736
2.920000000000016,-6.793284894526005,2.732153687803361
2.950000000000017,-6.781746337562799,2.834832876719645
2.990000000000009,-6.969584770500658,2.866929317364935
3.0200000000000102,-7.141556999832391,2.9302958618430353
3.0500000000000114,-7.153190358355642,2.9673656639384376
3.0900000000000034,-7.371509161964058,3.016061844557896
3.1200000000000045,-7.519957084953786,2.997398802736882
3.1500000000000057,-7.515765810012818,3.062053824661149
3.1899999999999977,-7.688375975191592,3.1342366222230567
3.219999999999999,-7.788781347498299,3.160788373173858
3.25,-7.8737495187669975,3.189957510915633
