time (min),f (Hz),d (ppm)
0.0,-0.4399999976158142,1.2113846153846168
0.030000000000001137,0.0,1.2113846153846168
0.060000000000002274,-1.0499999970197678,1.2113846153846168
0.10000000000000853,-0.019999995827674866,1.1913846153846208
0.13000000000000966,-1.0099999979138374,1.201384615384626
0.1700000000000017,-1.2699999958276749,1.221384615384622
0.20000000000000284,-0.5099999979138374,1.2113846153846168
0.23000000000000398,0.2200000062584877,1.1913846153846208
0.2600000000000051,-0.32999999821186066,1.201384615384626
0.29999999999999716,-0.9399999976158142,1.221384615384622
0.3299999999999983,-0.09999999403953552,1.221384615384622
0.35999999999999943,-0.739999994635582,1.241384615384618
0.4000000000000057,-1.0599999949336052,1.201384615384626
0.4300000000000068,-0.4399999976158142,1.231384615384627
0.46000000000000796,-1.6099999994039536,1.1813846153846157
0.4900000000000091,-0.8499999940395355,1.2113846153846168
0.5300000000000011,-0.9699999988079071,1.231384615384627
0.5600000000000023,-1.7599999979138374,1.241384615384618
0.5900000000000034,-1.5700000002980232,1.221384615384622
0.6300000000000097,-1.2999999970197678,1.2113846153846168
0.6600000000000108,-2.0799999982118607,1.221384615384622
0.6899999999999977,-2.589999996125698,1.251384615384623
0.730000000000004,-2.3799999952316284,1.231384615384627
0.7600000000000051,-2.5499999970197678,1.2113846153846168
0.7999999999999972,-3.5,1.221384615384622
0.8299999999999983,-3.739999994635582,1.2113846153846168
0.8599999999999994,-3.9099999964237213,1.1913846153846208
0.9000000000000057,-4.329999998211861,1.231384615384627
0.9300000000000068,-4.28999999910593,1.251384615384623
0.960000000000008,-4.439999997615814,1.231384615384627
1.0,-4.759999997913837,1.2113846153846168
1.0300000000000011,-4.629999995231628,1.201384615384626
1.0600000000000023,-5.259999997913837,1.231384615384627
1.0900000000000034,-5.579999998211861,1.241384615384618
1.1300000000000097,-5.909999996423721,1.251384615384623
1.1600000000000108,-7.029999993741512,1.251384615384623
1.2000000000000028,-9.429999999701977,1.3413846153846265
1.230000000000004,-11.029999993741512,1.3813846153846185
1.2600000000000051,-13.399999998509884,1.511384615384614
1.2999999999999972,-16.589999996125698,1.6113846153846225
1.3299999999999983,-18.75,1.7113846153846168
1.3599999999999994,-25.87999999523163,1.8113846153846254
1.4000000000000057,-26.12999999523163,1.9113846153846197
1.4300000000000068,-29.36999999731779,1.991384615384618
1.460000000000008,-33.25999999791384,2.1113846153846225
1.5,-35.559999994933605,2.231384615384627
1.5300000000000011,-40.479999996721745,2.3513846153846174
1.5600000000000023,-43.07000000029802,2.4313846153846157
1.6000000000000085,-45.91999999433756,2.5713846153846163
1.6300000000000097,-49.67999999970198,2.671384615384625
1.6600000000000108,-52.21999999880791,2.751384615384623
1.6899999999999977,-56.87999999523163,2.8513846153846174
1.730000000000004,-58.69999999552965,2.921384615384625
1.7700000000000102,-63.27999999374151,3.0513846153846202
1.7999999999999972,-66.3099999949336,3.1513846153846146
1.8299999999999983,-69.14000000059605,3.241384615384618
1.8599999999999994,-71.90999999642372,3.3213846153846163
1.9000000000000057,-73.82000000029802,3.3613846153846225
1.9300000000000068,-77.47999999672174,3.481384615384627
1.960000000000008,-80.27999999374151,3.541384615384615
2.0,-82.0599999949336,3.6213846153846276
2.0400000000000063,-85.60999999940395,3.701384615384626
2.0700000000000074,-87.60999999940395,3.731384615384627
2.1000000000000085,-90.5,3.8113846153846254
2.1400000000000006,-93.53999999910593,3.9013846153846146
2.1700000000000017,-96.10999999940395,3.981384615384627
2.210000000000008,-98.59999999403954,4.041384615384615
2.240000000000009,-101.69999999552965,4.071384615384616
2.2700000000000102,-103.66999999433756,4.151384615384615
2.299999999999997,-106.0599999949336,4.181384615384616
2.3400000000000034,-108.34999999403954,4.251384615384623
2.3700000000000045,-110.44999999552965,4.30138461538462
2.4000000000000057,-112.3099999949336,4.351384615384617
2.4399999999999977,-114.2199999988079,4.3813846153846185
2.469999999999999,-117.10999999940395,4.461384615384617
2.5,-118.64999999850988,4.481384615384627
2.5400000000000063,-121.5599999949336,4.521384615384619
2.5700000000000074,-122.45999999344349,4.641384615384624
2.6000000000000085,-125.3399999961257,4.6113846153846225
2.6400000000000006,-127.54999999701977,4.701384615384626
2.6700000000000017,-129.67999999970198,4.701384615384626
2.700000000000003,-130.4399999976158,4.771384615384619
2.740000000000009,-131.78999999910593,4.791384615384615
2.7700000000000102,-133.54999999701977,4.811384615384625
2.799999999999997,-135.73999999463558,4.891384615384624
2.8400000000000034,-137.66999999433756,4.901384615384615
2.8700000000000045,-138.5899999961257,4.931384615384616
2.9000000000000057,-139.42999999970198,4.901384615384615
2.9399999999999977,-141.04999999701977,4.981384615384627
2.969999999999999,-141.9699999988079,5.011384615384614
3.0,-143.94999999552965,5.021384615384619
3.0400000000000063,-145.54999999701977,5.101384615384617
3.0700000000000074,-146.72999999672174,5.081384615384621
3.1000000000000085,-148.0,5.0913846153846265
3.1400000000000006,-148.19999999552965,5.121384615384628
3.1700000000000017,-149.5,5.151384615384615
3.200000000000003,-151.60999999940395,5.171384615384625
3.240000000000009,-152.04999999701977,5.221384615384622
3.2700000000000102,-153.34999999403954,5.211384615384617
3.299999999999997,-154.2099999934435,5.211384615384617
3.3400000000000034,-155.5599999949336,5.30138461538462
3.3700000000000045,-157.26999999582767,5.251384615384623
3.4000000000000057,-157.07999999821186,5.30138461538462
3.4399999999999977,-158.5599999949336,5.30138461538462
3.469999999999999,-159.6199999973178,5.3613846153846225
3.5,-160.64999999850988,5.3813846153846185
3.5400000000000063,-162.03999999910593,5.391384615384624
3.5700000000000074,-163.0899999961257,5.371384615384628
