time (min),f (Hz),d (ppm)
0.0,0.009518925845618753,0.2736293923953923
0.03999999999999204,0.0,0.24830645669936757
0.06999999999999318,0.2097330480813966,0.26052299087217534
0.09999999999999432,0.33116090148686794,0.2770497691815734
0.13999999999998636,0.03559974431991009,0.26051001992539113
0.1699999999999875,0.2386932462453828,0.23260178192379044
0.19999999999998863,0.25954170972108415,0.2509011271182118
0.22999999999998977,0.2696552485227528,0.24160934755384744
0.2699999999999818,0.30214128345250657,0.25795249859950786
0.29999999999998295,0.3374670386314378,0.2565015609787764
0.3400000000000034,0.250093230605124,0.2739973623249483
0.3699999999999761,0.2655646607279749,0.27012229196712667
0.39999999999997726,0.38244642019271424,0.2645520955109504
0.4299999999999784,0.2538016825914369,0.25654723846963634
0.46999999999999886,0.2780303433537483,0.25115646056347884
0.5,0.2909309014677959,0.26075436602422997
0.5300000000000011,0.34304195791482783,0.24263766626403083
0.5699999999999932,0.3110941872000694,0.21331797254046592
0.5999999999999943,0.41066768765449524,0.289538986201876
0.6299999999999955,0.2671961247920933,0.24515661861393312
0.6699999999999875,0.12056259959936,0.24648561061367502
0.6999999999999886,0.2574412554502459,0.26150396518355024
0.7299999999999898,0.3223096773028331,0.26009264455495895
0.7699999999999818,0.3810029953718157,0.28594296082999904
0.799999999999983,0.2997217863798127,0.25631679790542705
0.8299999999999841,0.21239101588725617,0.26371647909495266
0.8699999999999761,0.40143388658761836,0.23981220767413447
0.8999999999999773,0.32658111453056193,0.22397210938635226
0.9299999999999784,0.31305522471666336,0.27180312736571466
0.9699999999999989,0.42089593112468293,0.26121160122693254
1.0,0.2899167492985697,0.24366867248043889
1.0300000000000011,0.1317066162824574,0.24085094587726985
1.0699999999999932,0.17552480250596858,0.2540587847733491
1.0999999999999943,0.3759351402521105,0.239808776341917
1.1399999999999864,0.18729743212460903,0.2781431471749869
1.1699999999999875,0.12314532846212245,0.2775621250327589
1.1999999999999886,-0.23854266107082367,0.29711844717186864
1.2399999999999807,-0.4505254134535832,0.3297106519608093
1.2699999999999818,-0.825579318404202,0.3836522122151109
1.299999999999983,-1.1767594203352942,0.4083637592769378
1.329999999999984,-1.786934453248982,0.4647235399326348
1.3699999999999761,-2.316148711740972,0.5363213413469907
1.3999999999999773,-2.979366672039035,0.5933902764595587
1.4299999999999784,-3.6531332269310965,0.6364236967284143
1.4599999999999795,-4.704764465987687,0.7143625774040885
1.4899999999999807,-5.337020668387417,0.7834405649629304
1.5300000000000011,-6.204730516672136,0.8949125465307333
1.5600000000000023,-6.814556972682482,0.9915446306975753
1.5999999999999943,-7.819957916438582,1.0780447590851736
1.6299999999999955,-8.46360692828894,1.1727891829489892
1.6599999999999966,-9.232562255859378,1.210503502521476
1.6899999999999977,-9.827838043868546,1.3077531809241094
1.7299999999999898,-10.455892811715607,1.3828047097214125
1.759999999999991,-10.941302257776265,1.4742082188103183
1.799999999999983,-11.504764513671404,1.54864879923295
1.829999999999984,-11.98818024396897,1.6020909938887087
1.8599999999999852,-12.234875060617924,1.643240706240789
1.8899999999999864,-12.715508590638642,1.6955408071554672
1.9299999999999784,-12.975839291512969,1.7235275164551496
1.9599999999999795,-13.180872006714345,1.7917033602291923
2.0,-13.39722440093756,1.8005098585127115
2.030000000000001,-13.555105766654016,1.8767847978981962
2.0600000000000023,-13.916177445650106,1.8978482747724286
2.0900000000000034,-13.999948987364775,1.9430605399018361
2.1299999999999955,-14.354020729660988,1.9623570209781178
2.1599999999999966,-14.506034843623638,1.9791431113235944
2.1999999999999886,-14.654568390548235,1.9962574738936354
2.2299999999999898,-14.834584374725821,2.031398252367751
2.259999999999991,-15.014285998046404,2.0789430028390967
2.289999999999992,-15.289139519631867,2.0839143697236295
2.329999999999984,-15.487862612307076,2.1011248874750663
2.359999999999985,-15.80420056134463,2.165566601662306
2.3999999999999773,-16.003850935399534,2.206429539304466
2.4299999999999784,-16.376935325562954,2.2418490167406304
2.4599999999999795,-16.577634702622895,2.279639655763347
2.4899999999999807,-16.950626586377624,2.3590786520528155
2.530000000000001,-17.239760553836824,2.327138277164792
2.5600000000000023,-17.687309449911126,2.404742840087053
2.5999999999999943,-18.014628146588805,2.430942237120277
2.6299999999999955,-18.558347953856,2.486365614003475
2.6599999999999966,-18.962994673848158,2.562585805840399
2.6999999999999886,-19.468271757662293,2.589431309428008
2.7299999999999898,-20.11000572443008,2.6436266263307147
2.759999999999991,-20.57700639665127,2.7197425422899926
2.799999999999983,-21.016453102231026,2.776440097749429
2.829999999999984,-21.6109721660614,2.7906528490573947
2.859999999999985,-22.090303495526314,2.8541947608461697
2.8899999999999864,-22.649039971828458,2.9175046763920562
2.9299999999999784,-23.287772332131865,2.9600154045320295
2.9599999999999795,-24.04003754407168,3.0569869858887557
2.9899999999999807,-24.6881874665618,3.16455606831785
3.030000000000001,-25.299905706942084,3.1687447617684654
3.0600000000000023,-26.02368473857642,3.214197133339596
3.0900000000000034,-26.60189438164234,3.305140820879515
3.1299999999999955,-27.33746424168349,3.3786492380442894
3.1599999999999966,-27.93989883214236,3.423739061643232
3.1899999999999977,-28.80537460893393,3.479176305297912
3.2299999999999898,-29.368811279535294,3.581105752720788
3.259999999999991,-30.07666615396738,3.590510761768712
3.289999999999992,-30.932920685410508,3.687994859893678
3.329999999999984,-31.529321403801447,3.7160650856225885
3.359999999999985,-32.271929778158665,3.7973878297444514
3.3999999999999773,-33.02719456255436,3.8602665399916702
3.4299999999999784,-33.746887671947476,3.9080098199229383
3.4599999999999795,-34.287028315663335,3.935619298356869
3.5,-34.97609505206347,4.030755354313428
3.530000000000001,-35.67769442349673,4.079202792779753
3.5600000000000023,-36.41429768502712,4.159869900837776
3.5999999999999943,-37.27704081088305,4.176154501404113
3.6299999999999955,-37.99737076461315,4.229411582290396
3.6599999999999966,-38.67300898134708,4.370229873883318
3.6899999999999977,-39.12690978944302,4.355814641775595
3.7299999999999898,-40.06829936355352,4.384254366719574
3.759999999999991,-40.662632149457934,4.443650788679335
3.789999999999992,-41.37827256023884,4.5040240908573566
3.829999999999984,-42.23853362351656,4.526869388081053
3.859999999999985,-42.793375447392464,4.594374137355132
3.8899999999999864,-43.694999383389955,4.609487513762872
3.9299999999999784,-44.318915009498596,4.666427963861835
3.9599999999999795,-45.27395902127027,4.717746196386756
3.9899999999999807,-45.84606975615024,4.7924178755304325
4.030000000000001,-46.57732905745506,4.862198814265994
4.060000000000002,-47.08615693002939,4.888786732275591
4.090000000000003,-47.85510792732239,4.918139258055234
4.1299999999999955,-48.84772367477417,4.996724278560748
4.159999999999997,-49.32728487998247,5.061173743747716
4.189999999999998,-50.09234495460987,5.0603480327500705
4.22999999999999,-50.83126284331084,5.100920497122033
4.269999999999982,-51.633659788966185,5.1413116152192515
4.299999999999983,-52.38976273536683,5.202746947712029
4.340000000000003,-53.18583392947913,5.241743355614389
4.369999999999976,-53.71676192283631,5.258234958307952
4.399999999999977,-54.518668566644195,5.329748200542198
4.439999999999998,-55.21338697522879,5.351578866298468
4.47999999999999,-56.064730784297,5.404174320965595
4.509999999999991,-56.50797274261713,5.449968374876335
4.539999999999992,-57.43319492042065,5.451686571017277
4.579999999999984,-57.96499283462764,5.4849819545589895
4.609999999999985,-58.76374653428793,5.542453332364133
4.649999999999977,-59.3685029283166,5.537114825292548
4.679999999999978,-59.71652024835349,5.634560470551548
4.7099999999999795,-60.63353953659535,5.658729523071955
4.739999999999981,-61.21184814572335,5.680407871499014
4.780000000000001,-61.90782980173826,5.717603224730212
4.810000000000002,-62.38756385594607,5.751808656039088
4.849999999999994,-63.05462258011103,5.783976582266746
4.8799999999999955,-63.5703328743577,5.833825997522467
4.909999999999997,-64.25446534007789,5.812005159166588
4.939999999999998,-64.82915938347578,5.834325549808611
4.97999999999999,-65.64104166328907,5.854431407164569
5.009999999999991,-65.99086943417788,5.914687700677874
5.049999999999983,-66.56698349565268,5.9154509339147126
5.079999999999984,-67.184445181489,5.957396837727671
5.109999999999985,-67.65180119127035,5.981570688792672
5.139999999999986,-68.2920211493969,6.00758731196413
5.179999999999978,-68.75811576247216,6.044735465498675
