time (min),f (Hz),d (ppm)
0.0,0.8500000014901161,1.230461538461526
0.030000000000001137,0.0,1.190461538461534
0.060000000000002274,0.8400000035762787,1.2204615384615352
0.10000000000000853,-0.16999999433755875,1.2204615384615352
0.13000000000000966,-0.17999999970197678,1.2504615384615363
0.1700000000000017,-0.6400000005960464,1.2504615384615363
0.20000000000000284,1.8200000002980232,1.2204615384615352
0.23000000000000398,1.0900000035762787,1.2204615384615352
0.2600000000000051,0.5800000056624413,1.2004615384615391
0.29999999999999716,-0.009999997913837433,1.21046153846153
0.3299999999999983,0.6600000038743019,1.2004615384615391
0.35999999999999943,-0.9199999943375587,1.180461538461529
0.4000000000000057,-0.4099999964237213,1.2204615384615352
0.4300000000000068,-0.619999997317791,1.2204615384615352
0.46000000000000796,0.10000000149011612,1.2004615384615391
0.4900000000000091,-0.25999999791383743,1.2004615384615391
0.5300000000000011,-0.9600000008940697,1.2204615384615352
0.5600000000000023,-1.1899999976158142,1.21046153846153
0.5900000000000034,-2.149999998509884,1.2504615384615363
0.6300000000000097,-1.589999996125698,1.230461538461526
0.6600000000000108,-2.5799999982118607,1.2204615384615352
0.6899999999999977,-3.3900000005960464,1.2204615384615352
0.730000000000004,-3.3900000005960464,1.21046153846153
0.7600000000000051,-4.329999998211861,1.2204615384615352
0.7999999999999972,-3.8900000005960464,1.2204615384615352
0.8299999999999983,-4.079999998211861,1.2204615384615352
0.8599999999999994,-5.089999996125698,1.2404615384615312
0.9000000000000057,-4.199999995529652,1.2204615384615352
0.9300000000000068,-4.629999995231628,1.2404615384615312
0.960000000000008,-5.699999995529652,1.2004615384615391
1.0,-6.149999998509884,1.230461538461526
1.0300000000000011,-7.199999995529652,1.2204615384615352
1.0600000000000023,-7.669999994337559,1.2704615384615323
1.0900000000000034,-7.369999997317791,1.2404615384615312
1.1300000000000097,-8.75,1.2804615384615374
1.1600000000000108,-9.439999997615814,1.3104615384615386
1.2000000000000028,-10.369999997317791,1.3104615384615386
1.230000000000004,-13.049999997019768,1.4004615384615278
1.2600000000000051,-16.75,1.480461538461526
1.2999999999999972,-20.25,1.5904615384615255
1.3299999999999983,-23.15999999642372,1.6604615384615329
