time (min),f (Hz),d (ppm)
0.0,-0.004781447350978851,0.1936260924989881
0.030000000000001137,0.0,0.20233542208738697
0.060000000000002274,-0.009442217648029327,0.2118939531080315
0.09000000000000341,-0.046253369748590956,0.20224456910719368
0.12999999999999545,-0.04630519300699376,0.21745714711799735
0.1599999999999966,0.09704792797565887,0.2117779495040537
0.19999999999998863,0.0015013694763226226,0.20067602851439403
0.22999999999998977,-0.008068986237049103,0.1811828764925849
0.2599999999999909,0.09783642292023131,0.18032097227485622
0.30000000000001137,0.16902709752321243,0.18639713585875484
0.3300000000000125,0.09184865802526332,0.17302569514819766
0.36000000000001364,-0.0034109547734217927,0.158750813476928
0.4000000000000057,0.09256988167762614,0.18517985342455745
0.4300000000000068,-0.02399790883064412,0.2061504159799341
0.46000000000000796,-0.015829434990884295,0.1809750309023741
0.4900000000000091,0.20495783686637736,0.192321015956594
0.5300000000000011,-0.03026200830936432,0.18613865610778646
0.5600000000000023,0.26118866652250716,0.1869928293652947
0.5900000000000034,0.16717926114797876,0.19780020653539054
0.6299999999999955,-0.06463192105292848,0.19883358771022586
0.6599999999999966,-0.046478575468064776,0.1988464096856717
0.6999999999999886,0.1838562801480279,0.2104861140218759
0.7299999999999898,0.2305416464805603,0.16739810479290895
0.7599999999999909,0.3124444976449041,0.18128487803979
0.8000000000000114,0.03364339023828933,0.16127579601710806
0.8300000000000125,0.10087337195873403,0.18976475432403106
0.8600000000000136,0.01237611919641779,0.1757854982687519
0.8899999999999864,-0.1646902874112115,0.2099665432381954
0.9300000000000068,0.007516202330592137,0.18762708969315156
0.960000000000008,-0.10269026309251927,0.2009066809567912
1.0,-0.374233725666997,0.26542517881583194
1.0300000000000011,-0.4216165825724616,0.2534290293318264
1.0600000000000023,-0.9106144294142737,0.3489521023461748
1.0999999999999943,-1.3863408580422387,0.3983642826871545
1.1299999999999955,-1.8543663799762697,0.4380489021249332
1.1599999999999966,-2.4707594990730257,0.5050208137624281
1.1999999999999886,-3.1732947409152956,0.6066281043138559
1.2299999999999898,-3.7226677820086493,0.6914796020021186
1.259999999999991,-4.77236388474703,0.799208036928917
1.3000000000000114,-5.479055607318877,0.8810933538614307
1.3300000000000125,-6.43393306285143,0.9640116377577357
1.3600000000000136,-6.830461008846761,1.0898352243526261
1.3899999999999864,-7.712036766111851,1.1833540294057912
1.4199999999999875,-8.496550665795802,1.29003551089491
1.460000000000008,-9.318618251383306,1.3775349871770288
1.490000000000009,-10.08793126493692,1.4976234235383856
1.5200000000000102,-10.976644790172578,1.6293799432954756
1.5500000000000114,-11.680675971508023,1.7017845674329948
1.5900000000000034,-12.360418212413784,1.821794738745666
1.6200000000000045,-13.11606365442276,1.895293526442515
1.6500000000000057,-13.736847206950188,1.9845790863493136
1.6899999999999977,-14.13887083828449,2.061768819822987
1.7199999999999989,-14.845672661066054,2.141806730945632
1.759999999999991,-15.47891960740089,2.260658507948307
1.789999999999992,-16.1170997902751,2.3365544835067453
1.8199999999999932,-16.643751609325406,2.426748788042545
1.8600000000000136,-17.26694255620241,2.4744059231929896
1.8899999999999864,-17.872436606884,2.5782145249233537
1.9199999999999875,-18.422047109901904,2.643963047096392
1.960000000000008,-18.974369724094863,2.712106067255746
1.990000000000009,-19.643591921031472,2.777940600909872
2.0200000000000102,-20.332194668054576,2.8804413956007693
2.0500000000000114,-20.575325183570385,2.950785634752293
2.0900000000000034,-21.616071933507918,3.0149807781816946
2.1200000000000045,-21.823688676953317,3.0890041836272246
2.1500000000000057,-22.644807177782056,3.156515921721038
2.1899999999999977,-23.38597427159548,3.2881076971377183
2.219999999999999,-23.981677211821072,3.371425650702193
2.25,-24.57428483814001,3.4533561401669175
2.289999999999992,-25.445456402003764,3.49891268921553
2.319999999999993,-26.252151833474635,3.638533956513612
2.3499999999999943,-26.76237797886133,3.6643739792215086
2.3899999999999864,-27.62437040060758,3.766603729164558
2.4199999999999875,-28.31094695925713,3.8780690494975687
2.4499999999999886,-29.019512546062465,3.908558088536651
2.490000000000009,-29.6718467310071,3.975824570747932
2.5200000000000102,-30.600892722606652,4.104456544185311
2.5500000000000114,-30.9907624348998,4.1493144101995085
2.5900000000000034,-31.937498474121092,4.254206854183408
2.6200000000000045,-32.59585061222315,4.318197104590311
2.6500000000000057,-33.458033055067055,4.407719680306613
2.6899999999999977,-34.226648640632625,4.455937971295867
2.7299999999999898,-34.97480539530516,4.559893864142865
2.75,-35.457019020617004,4.545259730177392
2.789999999999992,-36.11156521886587,4.671675209242906
2.819999999999993,-36.84346849918365,4.682608172321665
2.8499999999999943,-37.455201327800744,4.807837883278708
2.8899999999999864,-38.025593703985216,4.866579397830407
2.9199999999999875,-38.85188968777657,4.949363702316305
2.960000000000008,-39.42213621884584,5.0019710225358125
2.990000000000009,-40.14363899230957,5.09051290825397
3.0200000000000102,-40.644452866911884,5.135454914372872
3.0500000000000114,-41.41999393105507,5.1747706246468255
3.0900000000000034,-41.951628600060936,5.204434414938106
3.1200000000000045,-42.48186397105456,5.284320798363595
3.1599999999999966,-43.24702096432447,5.377537681176705
3.1899999999999977,-43.65017526447773,5.381430400003694
3.219999999999999,-44.23404679298401,5.442374467033147
3.259999999999991,-45.31424832642079,5.4788621503187045
3.289999999999992,-45.612277331948285,5.582960040223071
3.319999999999993,-46.29468508213758,5.641584451811667
3.3499999999999943,-46.529389631748195,5.656605123539251
3.3899999999999864,-47.46625335663557,5.745248671406074
3.4199999999999875,-47.79068219959736,5.75416754216117
3.460000000000008,-48.650982797145836,5.845561212192237
3.490000000000009,-49.213064908981316,5.915473865340985
3.5200000000000102,-49.68315915614367,5.983364849923149
3.5500000000000114,-50.17066749632358,5.975762325625453
3.5900000000000034,-50.739274449646466,6.041799288039911
3.6200000000000045,-51.14211199730635,6.092012262755034
3.6599999999999966,-51.964310698211186,6.102178571922153
3.6899999999999977,-52.197242414951326,6.1367185886911955
3.719999999999999,-53.07119902223348,6.222412732066317
3.75,-53.539632563292976,6.261962517519066
3.789999999999992,-53.975959239900114,6.29444459299873
3.819999999999993,-54.5522683084011,6.346538546009413
3.8600000000000136,-55.139946767687796,6.350444975327235
3.8899999999999864,-55.50343317240476,6.411243577203251
3.9199999999999875,-56.03327360898256,6.469245049571356
3.960000000000008,-56.744785143435,6.537656042139389
3.990000000000009,-56.99712131768465,6.558078403296975
4.02000000000001,-57.68486247211694,6.60167372085715
4.060000000000002,-58.20041141062975,6.618870819332173
4.090000000000003,-58.6803489536047,6.645805053439545
4.1200000000000045,-59.40150782912969,6.651531001852831
4.150000000000006,-59.84869272261857,6.706723182199767
4.189999999999998,-60.15704353451729,6.708990454079668
4.219999999999999,-60.54455768615008,6.749390772203995
4.259999999999991,-61.08919619023799,6.823748880358025
4.300000000000011,-61.58507621884346,6.8220998726452535
4.3300000000000125,-62.144241593778126,6.871018954652712
4.360000000000014,-62.65293880105019,6.864709613225287
4.400000000000006,-63.225868272781376,6.891289735099434
4.430000000000007,-63.56296962201595,6.965588973288391
4.469999999999999,-64.28833797723055,7.0248117668893855
4.5,-64.5835713773966,7.0378427787299955
4.539999999999992,-65.1413349211216,7.059892458519229
4.569999999999993,-65.54582067877055,7.080393298867548
4.599999999999994,-65.98076916038991,7.1243703448496944
4.639999999999986,-66.71927165389062,7.17069684918053
4.6699999999999875,-66.93427313715219,7.154155723342612
4.699999999999989,-67.38733109533786,7.202499234502355
4.740000000000009,-67.72676310688257,7.270548787489716
4.77000000000001,-68.21916816085576,7.2627185210369305
4.800000000000011,-68.9133095085621,7.272153113726432
4.840000000000003,-69.3035736978054,7.306960116119328
4.8700000000000045,-69.71737042516469,7.3173566486035355
4.909999999999997,-70.51096236556768,7.373720953038557
4.939999999999998,-70.51292271912098,7.375055474069029
4.969999999999999,-71.32309069782497,7.40951140086419
5.009999999999991,-71.43392500728368,7.3971959911847165
5.039999999999992,-71.96354508996009,7.456403242845667
5.0800000000000125,-72.32564757317306,7.491115177617175
5.110000000000014,-72.91595219820738,7.504310661006954
5.139999999999986,-73.29562745392323,7.474644016855791
5.1699999999999875,-73.52170520126819,7.541315713549594
5.199999999999989,-74.23414118438959,7.523428777942598
5.240000000000009,-74.45741493105888,7.559558657535746
5.27000000000001,-75.11045203208923,7.6098479880475765
5.310000000000002,-75.41250730603934,7.6284164126171845
5.340000000000003,-75.7619421362877,7.632883920412553
5.3700000000000045,-76.12213827371596,7.638145998012234
5.409999999999997,-76.81372416615486,7.650303075847148
5.439999999999998,-76.81809844076633,7.6997209204848645
5.469999999999999,-77.42136238217353,7.687223401351545
5.5,-77.95504184663295,7.706327698733276
5.539999999999992,-78.16469315886496,7.730869896842918
