time (min),pump,stirrer,solution
0,off,on,fb
10,on,on,naci
11,off,on,naci
20,off,on,suv
40,on,on,naci
41,off,on,naci
43.48333333,on,on,naci
44.01666667,off,on,naci
51.2,on,on,fb
52,off,on,SEPT_add
62.93333333,off,off,sept
80,off,on,fb_wash
81,off,on,fb
90.5,on,on,fb
95,on,on,sb
102.5,on,on,sb
