time (min),pump,stirrer,solution
0,off,on,fb
10,on,on,naci
11,off,on,naci
20,off,on,suv
40,on,on,naci
41,off,on,naci
50,on,on,fb
51,off,on,fb
60,off,on,SEPT_add
60.15,off,off,sept
100,on,off,fb_wash
102,on,on,fb
104.7,off,on,fb
110,on,on,sb
112,off,on,sb
120,on,on,GdnHCl
121,off,on,GdnHCl
7320,on,on,fb
7500,off,on,fb
