time (min),pump,stirrer,solution
0.166666667,on,on,fb
2.1,off,on,fb
10.5,on,on,naci
11,off,on,naci
19,off,on,mgcl
20,off,on,suv
30,on,on,naci
31,off,on,naci
40,on,on,fb
41,off,on,fb
60,off,on,SEPT_add
95,off,off,sept
82,on,off,fb_wash
83,off,off,fb
85,off,on,fb
86.06666667,off,off,fb
96.33333333,on,off,sb
97.33333333,off,off,sb
110,on,off,sb
118,on,on,sb
